text	genre	eval_entity_type	name	province	source	url	date	score
La zona del hotel es bonita y está a un paseo del centro de la ciudad. Con la reserva entraba una sesión de Spa, el cual es bastante grande. También cogimos el desayuno que aunque muy variado y abundante nos decepcionó un poco, algún producto cocinado no estaba recién hecho. El trato fue muy correcto y nos facilitaron toda la información que les pedimos.	review	urban	Senator Granada Spa Hotel	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187441-d1025279-Reviews-Senator_Granada_Spa_Hotel-Granada_Province_of_Granada_Andalucia.html	2017-5-2	4
Tuve la suerte de compartir con este hotel un momento tan especial como mi boda . Habló en nombre mío y de mi pareja. El trato, la calidad de la atención y de la comida, la organización y la habitación fueron sublimes.Un momento tan estresante como el día de tu boda, esos preparativos previos, esa organización que tan difícil se hace....con ellos ha sido espectacularmente fácil todo.No merece la pena pagar 10 euros menos por cubierto en otro sitio. Si te fías de mi comentario, gástalos y descansa. Se ocupan de todo, te tranquilizan y te quitan presión. Volvería a casarme ahí una y mil veces. Quien esté dudando entre este sitio y otro, que deje de dudar. ¡Maravilloso!Mención especial a Victoria, nuestra camarera preferida desde la prueba del menú (todos atienden de forma espectacular) y a Beatriz, nuestra wedding planner que por si acaso, va incluida en el precio....no teniendo precio. ¡Es una máquina!Por no hablar de la suite...vale cada euro...Mi más sincera enhorabuena para este hotel en la organización de la bodas.	review	urban	Hotel Palacio de Ubeda	JA	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g580278-d9794427-Reviews-Hotel_Palacio_de_Ubeda-Ubeda_Province_of_Jaen_Andalucia.html	2018-10-2	5
Llegamos después de un largo viaje en moto a dar una cálida bienvenida y informativo. Las habitaciones estaban limpias, con camas cómodas y una buena ducha. El hotel tiene un ambiente peculiar, lo que añade a su encanto. Nos pareció que era una buena relación calidad-precio y muy bien situado en el centro de Granada. Sin duda recomiendo esta joya escondida y sin duda volveremos si en Granada.	review	urban	OYO Hotel Boutique Reina Mora	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187441-d624096-Reviews-OYO_Hotel_Boutique_Reina_Mora-Granada_Province_of_Granada_Andalucia.html	2017-2-2	5
Es la tercera vez que nos alojamos en este hotel y las experiencias siempre son fantásticas. Limpieza, atención, medidas COVID excelentes, personal del buffet por las mañanas . Especial mención a los chicos de recepción que nos dejaron salir a la 13.00h de la habitación . Si vamos a Almuñécar, nos alojamos en Helios Costa Tropical porque estamos como en casa. Enhorabuena , compañeros! No cambiéis!	review	beach	Helios Costa Tropical	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g608988-d535696-Reviews-Helios_Costa_Tropical-Almunecar_Province_of_Granada_Andalucia.html	2020-8-2	5
Teniendo en cuenta el precio, el hotel cumple con lo que ofrece. Esta situado a unos 15 minutos andando del centro de la ciudad. No encontre parking gratuito alrededor del hotel. La habitacion tenia el tamaño adecuado y estaba limpia, al igual que el baño. Disponia de TV plana y aire acondicionado asi como wifi, funcionando todo muy bien. La decoracion y equipacion de la habitacion era mas propia de los 70 que de hoy en dia. El desayuno se sirve en un hotel que esta a unos 3 minutos andando. Es sencillito, sin calidad ni gusto. Que quede presente que lo ponen bien claro en la reserva, no engañan. El personal fue muy amable y servicial. Tienen ascensor. Importante, no hay bares alrededor que abran por la tarde-noche. Para ello hay que irse al centro.	review	urban	Zeus Hotel Malaga	MA	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187438-d236960-Reviews-Zeus_Hotel_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2019-9-2	4
Aunque fuimos en invierno, tuvimos una excelente experiencia en este hotel. Tiene mucho encanto y atractivo. El diseño, las habitaciones, las instalaciones, me parecieron fenomenales para pasar un fin de semana o un puente.A destacar las vistas de sus terrazas, tanto de las habitaciones como las del restaurante, que son preciosas. Entiendo que son unas instalaciones para disfrutarlas, con piscina y demás, y sobre todo el spa: puede reservarse de forma privada de tal manera que solamente entráis vosotros. Aunque no es un spa enorme, sí tiene de todo lo imprescindible. Tiene vistas al pantano!De las habitaciones: el baño tiene suelo radiante. Un gustazo! Además nuestra habitación tenía una buena terraza, también vistas al pantano.Está en una zona apartada, pero bien comunicada por carretera. Lo malo es que necesitas coche para cualquier cosa que necesites, ya que no hay nada cerca.	review	beach	B Bou Hotel Vinuela Spa	MA	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g1080319-d236974-Reviews-B_Bou_Hotel_Vinuela_Spa-Vinuela_Province_of_Malaga_Andalucia.html	2019-2-2	4
Este magnífico hotel es un soplo de aire fresco lleno de historia fascinante - lamento es que no nos pudimos quedar más tiempo... impresionantes vistas a través de Granada desde el mirador de el ganadaro bar, excelente comida impecablemente servida, nuevo disfrutando de la vista más espectacular de noche desde esta posición al lado de la montaña. habitación superior con balcón y panorama impresionante. agradable estancia y visitar sin dudarlo.	review	urban	Alhambra Palace Hotel	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187441-d191079-Reviews-Alhambra_Palace_Hotel-Granada_Province_of_Granada_Andalucia.html	2013-4-2	5
Tiene una ubicación muy buena para conocer la ciudad, céntrico y a mano de todos los servicios públicos, es fácil para llegar de viaje, el personal es encantador y tiene un trato exquisito y las habitaciones son amplias y cómodas, el wifi funciona bien y el único inconveniente es que la bañera se salía, por mucho cuidado que tuvieses en la ducha terminaba el agua en el suelo, daba un poco de apuro.	review	urban	Hotel Barcelo Carmen Granada	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187441-d228637-Reviews-Hotel_Barcelo_Carmen_Granada-Granada_Province_of_Granada_Andalucia.html	2018-11-2	4
Agradable y bastante pequeña familyrun hotell está a unos 15 minutos a pie del centro, al menos la catedral y sus alrededores. Es una zona tranquila, encontrará tabernas, bares y cafees cerca del hotel, así como las posibilidades de compras. El personal habla inglés. El desayuno es bueno, pero el desayuno es pequeño, así que organizar el desayuno en turnos. La habitación en sí era pequeña pero buena también y están bien equipadas.	review	urban	OYO Hotel Boutique Reina Mora	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g187441-d624096-Reviews-OYO_Hotel_Boutique_Reina_Mora-Granada_Province_of_Granada_Andalucia.html	2016-11-2	4
Intento buscar algunas frases para definir nuestras impresiones sobre El Castañar Nazarí, pero no encuentro ninguna que no se haya escrito ya. No es fácil encontrar un lugar que reúna un entorno privilegiado, unas instalaciones impecables, un servicio exquisito y un trato personal tan cercano y amable. Felicidades Encarna y Félix. Enhorabuena por el trabajo bien hecho y gracias por el cariño y la generosidad.Nos volveremos a ver!	review	nature	El CastaNar Nazari	GR	Tripadvisor	https://www.tripadvisor.es/Hotel_Review-g1079258-d1591956-Reviews-El_CastaNar_Nazari-Busquistar_Province_of_Granada_Andalucia.html	2016-9-2	5
